, 0, 1, 2, 3, 4, 5, 10, 20, 30, 40, 50, 60, 70, 80, 90, 93
perf_fib_loop.c,164.0,242.0,322.7,450.3,512.3,667.0,1205.7,4252.7,6851.7,9772.7,12195.0,14808.0,17453.0,20201.3,23138.0,23316.7
perf_fib_loop_asm.s,146.3,183.3,257.0,318.3,410.7,476.7,1020.3,1473.3,2299.3,3102.3,3626.7,4879.7,7321.3,8351.0,9176.0,9539.3
perf_fib_gen_term.c,809.7,2129.7,2125.3,2171.0,2153.7,2230.0,2150.0,2285.7,2202.0,2178.0,2124.3,2065.0,2215.7,2079.7,2189.3,2064.0
perf_fib_rec_memo.c,1394.7,1607.0,3547.7,4380.3,5136.3,4710.7,9154.3,22089.0,45822.0,68328.0,92056.0,116255.3,138806.3,162128.7,187910.3,194027.0
perf_fib_rec_tail.c,248.0,266.7,772.7,1261.7,1553.7,1886.3,3926.7,8706.0,26988.3,41615.0,55418.0,70349.7,88913.3,102587.3,119350.0,122348.7
